Requests, Calculations, Minimal portion, Maximal portion, Operations quantum, Number of threads, Solution, Storage size
100000, -314762681, 1, 100, 0, 2, Asynchronous, 1000, 10.9505195
100000, -314762681, 1, 100, 0, 2, Synchronous, 1000, 12.6046015
100000, -61619781, 1, 100, 30, 2, Asynchronous, 1000, 9.9915544
100000, -61619781, 1, 100, 30, 2, Synchronous, 1000, 12.3445902
100000, -5679785, 1, 100, 60, 2, Asynchronous, 1000, 11.3441492
100000, -5679785, 1, 100, 60, 2, Synchronous, 1000, 12.604992
100000, 6203015, 1, 100, 90, 2, Asynchronous, 1000, 13.3149547
100000, 6203015, 1, 100, 90, 2, Synchronous, 1000, 22.6593345
100000, 7642693, 1, 100, 120, 2, Asynchronous, 1000, 14.197954
100000, 7642693, 1, 100, 120, 2, Synchronous, 1000, 29.4398079
100000, 6949100, 1, 100, 150, 2, Asynchronous, 1000, 14.6593547
100000, 6949100, 1, 100, 150, 2, Synchronous, 1000, 32.0962858
100000, 127594188, 1, 100, 0, 4, Asynchronous, 1000, 23.7572215
100000, 127594188, 1, 100, 0, 4, Synchronous, 1000, 28.5292574
100000, 43284621, 1, 100, 30, 4, Asynchronous, 1000, 23.7278114
100000, 43284621, 1, 100, 30, 4, Synchronous, 1000, 53.0490039
100000, 13858243, 1, 100, 60, 4, Asynchronous, 1000, 14.9949712
100000, 13858243, 1, 100, 60, 4, Synchronous, 1000, 43.9223672
100000, 9006843, 1, 100, 90, 4, Asynchronous, 1000, 18.9885869
100000, 9006843, 1, 100, 90, 4, Synchronous, 1000, 43.4023802
100000, 9423419, 1, 100, 120, 4, Asynchronous, 1000, 28.4159545
100000, 9423419, 1, 100, 120, 4, Synchronous, 1000, 49.5598543
100000, 5008690, 1, 100, 150, 4, Asynchronous, 1000, 16.9052926
100000, 5008690, 1, 100, 150, 4, Synchronous, 1000, 42.7677642
100000, 61808686, 1, 100, 0, 6, Asynchronous, 1000, 33.4852329
100000, 61808686, 1, 100, 0, 6, Synchronous, 1000, 38.4111524
100000, 29232658, 1, 100, 30, 6, Asynchronous, 1000, 30.4972122
100000, 29232658, 1, 100, 30, 6, Synchronous, 1000, 55.9640482
100000, 13814788, 1, 100, 60, 6, Asynchronous, 1000, 28.7080611
100000, 13814788, 1, 100, 60, 6, Synchronous, 1000, 54.1745682
100000, 8416825, 1, 100, 90, 6, Asynchronous, 1000, 27.5239451
100000, 8416825, 1, 100, 90, 6, Synchronous, 1000, 52.9724983
100000, 6988910, 1, 100, 120, 6, Asynchronous, 1000, 31.6906728
100000, 6988910, 1, 100, 120, 6, Synchronous, 1000, 56.4040723
100000, 5656421, 1, 100, 150, 6, Asynchronous, 1000, 32.0761931
100000, 5656421, 1, 100, 150, 6, Synchronous, 1000, 65.4877616
100000, -527378, 1, 100, 0, 8, Asynchronous, 1000, 50.1937656
100000, -527378, 1, 100, 0, 8, Synchronous, 1000, 52.0781259
100000, 28861633, 1, 100, 30, 8, Asynchronous, 1000, 48.2549636
100000, 28861633, 1, 100, 30, 8, Synchronous, 1000, 83.3332659
100000, 18304409, 1, 100, 60, 8, Asynchronous, 1000, 54.8772575
100000, 18304409, 1, 100, 60, 8, Synchronous, 1000, 90.4398039
100000, 11992548, 1, 100, 90, 8, Asynchronous, 1000, 54.0712884
100000, 11992548, 1, 100, 90, 8, Synchronous, 1000, 86.2027361
100000, 9794626, 1, 100, 120, 8, Asynchronous, 1000, 60.0114909
100000, 9794626, 1, 100, 120, 8, Synchronous, 1000, 84.2829601
100000, 6974845, 1, 100, 150, 8, Asynchronous, 1000, 52.8379518
100000, 6974845, 1, 100, 150, 8, Synchronous, 1000, 78.7375397
100000, -41195598, 1, 100, 0, 10, Asynchronous, 1000, 89.2720989
100000, -41195598, 1, 100, 0, 10, Synchronous, 1000, 67.5669026
