Requests,Calculations,Minimal portion,Maximal portion,Operations quantum,Number of threads,Solution,Storage size,Time
20000,1122298,1,100,100,2,Asynchronous,1000,2.4735204
20000,1122298,1,100,100,2,Synchronous,1000,3.5260091
20000,745444,1,100,200,2,Asynchronous,1000,3.0567946
20000,745444,1,100,200,2,Synchronous,1000,4.133338
20000,500220,1,100,300,2,Asynchronous,1000,3.0592779
20000,500220,1,100,300,2,Synchronous,1000,4.1188501
20000,381059,1,100,400,2,Asynchronous,1000,3.1075343
20000,381059,1,100,400,2,Synchronous,1000,4.2503896
20000,317378,1,100,500,2,Asynchronous,1000,3.2351598
20000,317378,1,100,500,2,Synchronous,1000,4.2303483
20000,259334,1,100,600,2,Asynchronous,1000,3.1723946
20000,259334,1,100,600,2,Synchronous,1000,4.1656768
20000,223862,1,100,700,2,Asynchronous,1000,3.1983161
20000,223862,1,100,700,2,Synchronous,1000,4.319142
20000,196218,1,100,800,2,Asynchronous,1000,3.2018837
20000,196218,1,100,800,2,Synchronous,1000,4.255394
20000,172172,1,100,900,2,Asynchronous,1000,3.1645011
20000,172172,1,100,900,2,Synchronous,1000,4.3279569
20000,155939,1,100,1000,2,Asynchronous,1000,3.1794661
20000,155939,1,100,1000,2,Synchronous,1000,4.2938545
20000,1426039,1,100,100,4,Asynchronous,1000,4.3378813
20000,1426039,1,100,100,4,Synchronous,1000,5.9835758
20000,538987,1,100,200,4,Asynchronous,1000,3.3875715
20000,538987,1,100,200,4,Synchronous,1000,5.2431212
20000,423291,1,100,300,4,Asynchronous,1000,3.9362776
20000,423291,1,100,300,4,Synchronous,1000,5.7786981
20000,403526,1,100,400,4,Asynchronous,1000,4.9035511
20000,403526,1,100,400,4,Synchronous,1000,6.5285798
20000,203542,1,100,500,4,Asynchronous,1000,3.2360392
20000,203542,1,100,500,4,Synchronous,1000,5.4343868
20000,220364,1,100,600,4,Asynchronous,1000,4.0712879
20000,220364,1,100,600,4,Synchronous,1000,6.009436
20000,227944,1,100,700,4,Asynchronous,1000,4.7852158
20000,227944,1,100,700,4,Synchronous,1000,6.5318378
20000,153998,1,100,800,4,Asynchronous,1000,3.8098198
20000,153998,1,100,800,4,Synchronous,1000,5.5943142
20000,137269,1,100,900,4,Asynchronous,1000,3.7741164
20000,137269,1,100,900,4,Synchronous,1000,5.5237145
20000,173078,1,100,1000,4,Asynchronous,1000,5.2008662
20000,173078,1,100,1000,4,Synchronous,1000,6.6889664
20000,1302254,1,100,100,6,Asynchronous,1000,5.7685612
20000,1302254,1,100,100,6,Synchronous,1000,8.3697749
20000,828836,1,100,200,6,Asynchronous,1000,7.3652679
20000,828836,1,100,200,6,Synchronous,1000,9.485474
20000,600188,1,100,300,6,Asynchronous,1000,7.9651847
20000,600188,1,100,300,6,Synchronous,1000,10.049818
20000,357505,1,100,400,6,Asynchronous,1000,6.3146042
20000,357505,1,100,400,6,Synchronous,1000,8.6850611
20000,292581,1,100,500,6,Asynchronous,1000,6.4345412
20000,292581,1,100,500,6,Synchronous,1000,8.9844155
20000,257702,1,100,600,6,Asynchronous,1000,6.8580984
20000,257702,1,100,600,6,Synchronous,1000,9.0957313
20000,158368,1,100,700,6,Asynchronous,1000,4.9092314
20000,158368,1,100,700,6,Synchronous,1000,7.8288864
20000,224340,1,100,800,6,Asynchronous,1000,8.1902344
20000,224340,1,100,800,6,Synchronous,1000,10.2387005
20000,173952,1,100,900,6,Asynchronous,1000,6.9417643
20000,173952,1,100,900,6,Synchronous,1000,9.2610987
20000,160025,1,100,1000,6,Asynchronous,1000,7.0702455
20000,160025,1,100,1000,6,Synchronous,1000,9.7076861
20000,1885279,1,100,100,8,Asynchronous,1000,10.8953329
20000,1885279,1,100,100,8,Synchronous,1000,13.60578
20000,608756,1,100,200,8,Asynchronous,1000,7.2505525
20000,608756,1,100,200,8,Synchronous,1000,10.8892034
20000,491564,1,100,300,8,Asynchronous,1000,8.5183682
20000,491564,1,100,300,8,Synchronous,1000,11.9782084
20000,477592,1,100,400,8,Asynchronous,1000,11.1173891
20000,477592,1,100,400,8,Synchronous,1000,13.7388335
20000,351219,1,100,500,8,Asynchronous,1000,10.1523671
20000,351219,1,100,500,8,Synchronous,1000,13.1345691
20000,317154,1,100,600,8,Asynchronous,1000,11.0292679
20000,317154,1,100,600,8,Synchronous,1000,13.7382764
20000,245578,1,100,700,8,Asynchronous,1000,9.9303928
20000,245578,1,100,700,8,Synchronous,1000,13.1326436
20000,214427,1,100,800,8,Asynchronous,1000,9.9337633
20000,214427,1,100,800,8,Synchronous,1000,12.9631098
20000,191133,1,100,900,8,Asynchronous,1000,9.9506793
